Name,Team,Position,CalculatedFantasyPoints_StdPPPRIDP,replacement_points,VOR,Cluster,Tier,TierLabel
L.Jackson,BAL,QB,399.0,105.3,293.7,1,0,Tier 1 — Elite
J.Burrow,CIN,QB,307.0,105.3,201.7,1,0,Tier 1 — Elite
J.Allen,BUF,QB,370.0,105.3,264.7,1,0,Tier 1 — Elite
B.Mayfield,TB,QB,306.0,105.3,200.7,1,0,Tier 1 — Elite
J.Daniels,WAS,QB,324.0,105.3,218.7,1,0,Tier 1 — Elite
P.Mahomes,KC,QB,279.0,105.3,173.7,1,0,Tier 1 — Elite
J.Hurts,PHI,QB,314.0,105.3,208.7,1,0,Tier 1 — Elite
J.Goff,DET,QB,271.5,105.3,166.2,2,1,Tier 2 — High-End Starters
A.Richardson,IND,QB,157.0,105.3,51.7,0,2,Tier 3 — Average Performers
T.Tagovailoa,MIA,QB,159.0,105.3,53.7,0,2,Tier 3 — Average Performers
D.Maye,NE,QB,184.0,105.3,78.7,0,2,Tier 3 — Average Performers
B.Young,CAR,QB,166.0,105.3,60.7,0,2,Tier 3 — Average Performers
S.Barkley,PHI,RB,351.0,65.19,285.81,1,0,Tier 1 — Elite
D.Henry,BAL,RB,320.0,65.19,254.81,1,0,Tier 1 — Elite
B.Robinson,ATL,RB,318.0,65.19,252.81,1,0,Tier 1 — Elite
J.Gibbs,DET,RB,331.0,65.19,265.81,1,0,Tier 1 — Elite
D.Achane,MIA,RB,284.0,65.19,218.81,1,0,Tier 1 — Elite
J.Jacobs,GB,RB,267.0,65.19,201.81,1,0,Tier 1 — Elite
A.Kamara,NO,RB,240.0,65.19,174.81,1,0,Tier 1 — Elite
J.Taylor,IND,RB,225.0,65.19,159.81,2,1,Tier 2 — High-End Starters
K.Walker III,SEA,RB,203.0,65.19,137.81,2,1,Tier 2 — High-End Starters
C.Brown,CIN,RB,223.0,65.19,157.81,2,1,Tier 2 — High-End Starters
J.Chase,CIN,WR,384.5,91.89,292.61,1,0,Tier 1 — Elite
J.Jefferson,MIN,WR,304.0,91.89,212.11,1,0,Tier 1 — Elite
A.St. Brown,DET,WR,304.0,91.89,212.11,1,0,Tier 1 — Elite
C.Lamb,DAL,WR,270.0,91.89,178.11,1,0,Tier 1 — Elite
N.Collins,HOU,WR,224.0,91.89,132.11,2,1,Tier 2 — High-End Starters
M.Nabers,NYG,WR,246.0,91.89,154.11,2,1,Tier 2 — High-End Starters
B.Thomas Jr.,JAX,WR,265.0,91.89,173.11,1,0,Tier 1 — Elite
P.Nacua,LAR,WR,208.0,91.89,116.11,2,1,Tier 2 — High-End Starters
A.Brown,PHI,WR,215.0,91.89,123.11,2,1,Tier 2 — High-End Starters
T.McLaurin,WAS,WR,235.0,91.89,143.11,2,1,Tier 2 — High-End Starters
T.Higgins,CIN,WR,203.0,91.89,111.11,2,1,Tier 2 — High-End Starters
Z.Flowers,BAL,WR,202.0,91.89,110.11,2,1,Tier 2 — High-End Starters
B.Bowers,LV,TE,256.0,57.98,198.02,1,0,Tier 1 — Elite
G.Kittle,SF,TE,216.0,57.98,158.02,2,1,Tier 2 — High-End Starters
T.McBride,ARI,TE,204.5,57.98,146.52,2,1,Tier 2 — High-End Starters
T.Kelce,KC,TE,197.0,57.98,139.02,2,1,Tier 2 — High-End Starters
T.Watt,PIT,LB,176.5,48.0,128.5,2,1,Tier 2 — High-End Starters
F.Warner,SF,LB,231.5,48.0,183.5,1,0,Tier 1 — Elite
R.Smith,BAL,LB,232.5,48.0,184.5,1,0,Tier 1 — Elite
M.Garrett,CLE,DL,132.5,49.28,83.22,0,2,Tier 3 — Average Performers
T.Hendrickson,CIN,DL,139.0,49.28,89.72,2,1,Tier 2 — High-End Starters
K.Hamilton,BAL,DB,159.5,64.22,95.28,2,1,Tier 2 — High-End Starters
X.McKinney,GB,DB,169.0,64.22,104.78,2,1,Tier 2 — High-End Starters
Player_RB_1,TB,RB,116.96,65.19,51.77,0,2,Tier 3 — Average Performers
Player_TE_2,BUF,TE,110.75,57.98,52.77,0,2,Tier 3 — Average Performers
Player_LB_3,NE,LB,88.73,48.0,40.73,0,2,Tier 3 — Average Performers
Player_RB_5,WAS,RB,125.78,65.19,60.59,0,2,Tier 3 — Average Performers
Player_RB_6,BAL,RB,164.4,65.19,99.21,2,1,Tier 2 — High-End Starters
Player_QB_7,CIN,QB,185.21,105.3,79.91,0,2,Tier 3 — Average Performers
Player_QB_8,LV,QB,65.83,105.3,-39.47,3,3,Tier 4 — Negative Performers
