Name,Team,Position,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,ReceivingYards,ReceivingTouchdowns,Receptions,FumblesLost,Tackles,Sacks,Interceptions,ForcedFumbles,DefensiveTouchdowns
L.Jackson,BAL,QB,3950.0,36.0,4.0,850.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
J.Burrow,CIN,QB,4200.0,34.0,8.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Allen,BUF,QB,3800.0,28.0,6.0,520.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
B.Mayfield,TB,QB,4100.0,35.0,14.0,220.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
J.Daniels,WAS,QB,3500.0,22.0,8.0,800.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
P.Mahomes,KC,QB,3900.0,26.0,11.0,310.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Hurts,PHI,QB,3000.0,18.0,5.0,620.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
J.Goff,DET,QB,4100.0,32.0,10.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A.Richardson,IND,QB,1800.0,10.0,12.0,450.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
T.Tagovailoa,MIA,QB,2600.0,16.0,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D.Maye,NE,QB,2400.0,15.0,10.0,400.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
B.Young,CAR,QB,2300.0,14.0,9.0,220.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
S.Barkley,PHI,RB,0.0,0.0,0.0,1900.0,14.0,320.0,2.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
D.Henry,BAL,RB,0.0,0.0,0.0,1800.0,16.0,180.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
B.Robinson,ATL,RB,0.0,0.0,0.0,1300.0,12.0,450.0,3.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Gibbs,DET,RB,0.0,0.0,0.0,1250.0,14.0,480.0,4.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0
D.Achane,MIA,RB,0.0,0.0,0.0,950.0,6.0,550.0,5.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Jacobs,GB,RB,0.0,0.0,0.0,1300.0,11.0,310.0,2.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0
A.Kamara,NO,RB,0.0,0.0,0.0,900.0,6.0,460.0,2.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0
J.Taylor,IND,RB,0.0,0.0,0.0,1200.0,9.0,220.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
K.Walker III,SEA,RB,0.0,0.0,0.0,850.0,7.0,320.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
